DEBUG 2019-07-03 23:28:39,945 - -----------------------------------------BUGZILLA------------------------------------------
DEBUG 2019-07-03 23:28:40,014 - Starting new HTTPS connection (1): bugzilla.mozilla.org
DEBUG 2019-07-03 23:28:41,362 - https://bugzilla.mozilla.org:443 "GET /rest/bug/?ids=1144467&api_key=JjuxII3hzJBzpzxZ1erGO2vNMnqz5FigqMeTLdzw HTTP/1.1" 200 1003
DEBUG 2019-07-03 23:28:41,371 - Starting new HTTPS connection (1): bugzilla.mozilla.org
DEBUG 2019-07-03 23:28:42,616 - https://bugzilla.mozilla.org:443 "GET /rest/bug/1144467/comment?token=JjuxII3hzJBzpzxZ1erGO2vNMnqz5FigqMeTLdzw HTTP/1.1" 200 None
DEBUG 2019-07-03 23:28:42,625 - Starting new HTTPS connection (1): bugzilla.mozilla.org
DEBUG 2019-07-03 23:28:43,646 - https://bugzilla.mozilla.org:443 "GET /rest/bug/1144467/history?token=JjuxII3hzJBzpzxZ1erGO2vNMnqz5FigqMeTLdzw HTTP/1.1" 200 None
DEBUG 2019-07-03 23:28:43,655 - Starting new HTTPS connection (1): bugzilla.mozilla.org
DEBUG 2019-07-03 23:28:50,561 - https://bugzilla.mozilla.org:443 "GET /rest/bug?assigned_to=lhenry@mozilla.com HTTP/1.1" 200 None
DEBUG 2019-07-03 23:28:51,031 - Starting new HTTPS connection (1): bugzilla.mozilla.org
DEBUG 2019-07-03 23:28:52,404 - https://bugzilla.mozilla.org:443 "GET /rest/user?names=lhenry@mozilla.com HTTP/1.1" 200 None
DEBUG 2019-07-03 23:28:52,411 - ---------------------------JIRA------------------------------------
DEBUG 2019-07-03 23:28:52,411 - CONNECTION TO JIRA
DEBUG 2019-07-03 23:28:52,411 - ADDING CUSTOM FIELD - CREATION OF THE JSON CONFIGURATION FILE
DEBUG 2019-07-03 23:28:52,411 - DASHBOARD'S CUSTOM FIELDS AVAILABLE - CONFIGURATION JSON FILE CREATION
DEBUG 2019-07-03 23:28:52,484 - Starting new HTTPS connection (1): issues.jboss.org
DEBUG 2019-07-03 23:28:53,298 - https://issues.jboss.org:443 "GET /rest/api/2/serverInfo HTTP/1.1" 200 None
DEBUG 2019-07-03 23:28:53,699 - https://issues.jboss.org:443 "GET /rest/api/2/field HTTP/1.1" 200 None
DEBUG 2019-07-03 23:28:54,195 - https://issues.jboss.org:443 "GET /rest/api/2/issue/JBCS-535 HTTP/1.1" 200 None
DEBUG 2019-07-03 23:28:54,202 - BASIC DATA RETRIEVER OBJECT
DEBUG 2019-07-03 23:28:54,202 - CUSTOM FIELD DATA RETRIEVER OBJECT
DEBUG 2019-07-03 23:28:54,202 - JIRA Doc including Basic + Custom Fields
DEBUG 2019-07-03 23:28:54,205 - Starting new HTTPS connection (1): issues.jboss.org
DEBUG 2019-07-03 23:28:55,067 - https://issues.jboss.org:443 "GET /rest/api/2/serverInfo HTTP/1.1" 200 None
DEBUG 2019-07-03 23:28:55,476 - https://issues.jboss.org:443 "GET /rest/api/2/field HTTP/1.1" 200 None
DEBUG 2019-07-03 23:28:55,962 - https://issues.jboss.org:443 "GET /rest/api/2/issue/JBCS-535 HTTP/1.1" 200 None
DEBUG 2019-07-03 23:28:55,970 - Starting new HTTPS connection (1): issues.jboss.org
DEBUG 2019-07-03 23:28:56,743 - https://issues.jboss.org:443 "GET /rest/api/2/project/12317125 HTTP/1.1" 200 None
DEBUG 2019-07-03 23:28:56,929 - Starting new HTTPS connection (1): issues.jboss.org
DEBUG 2019-07-03 23:28:57,927 - https://issues.jboss.org:443 "GET /rest/api/2/serverInfo HTTP/1.1" 200 None
DEBUG 2019-07-03 23:28:58,343 - https://issues.jboss.org:443 "GET /rest/api/2/field HTTP/1.1" 200 None
DEBUG 2019-07-03 23:28:58,840 - https://issues.jboss.org:443 "GET /rest/api/2/issue/JBCS-535 HTTP/1.1" 200 None
DEBUG 2019-07-03 23:28:58,845 - >>> Calling JIRA API and printing Issue parts is now completed successfully!
